Tenant,Event,Time(EST),Store Type,User Name
dhhq,Order Import Started, 5 Jun 2017 07:13:26 AM,,brandi
dhhq,Order Import Started, 6 Jun 2017 07:11:48 AM,,brandi
dhhq,Order Import Started, 7 Jun 2017 07:09:23 AM,,brandi
dhhq,Order Import Started, 7 Jun 2017 07:14:46 AM,,brandi
dhhq,Order Import Started, 8 Jun 2017 08:42:35 AM,,Sloan
dhhq,Order Import Started, 8 Jun 2017 10:06:44 AM,,brandi
dhhq,Order Import Started, 8 Jun 2017 10:07:09 AM,,inez
dhhq,Order Import Started, 8 Jun 2017 10:07:32 AM,,inez
dhhq,Order Import Started, 9 Jun 2017 07:20:16 AM,,brandi
empire,Order Import Started, 5 Jun 2017 06:53:40 AM,CSV,udara
empire,Order Import Finished, 5 Jun 2017 06:53:49 AM,CSV,udara
empire,Order Import Started, 5 Jun 2017 06:54:06 AM,CSV,udara
empire,Order Import Finished, 5 Jun 2017 06:59:00 AM,CSV,udara
empire,Order Import Started, 5 Jun 2017 07:01:08 AM,CSV,udara
empire,Order Import Finished, 5 Jun 2017 07:04:47 AM,CSV,udara
empire,Order Import Started, 5 Jun 2017 07:05:09 AM,CSV,udara
empire,Order Import Finished, 5 Jun 2017 07:09:20 AM,CSV,udara
empire,Order Import Started, 5 Jun 2017 07:12:12 AM,CSV,udara
empire,Order Import Finished, 5 Jun 2017 07:16:11 AM,CSV,udara
empire,Order Import Started, 5 Jun 2017 07:19:57 AM,CSV,udara
empire,Order Import Finished, 5 Jun 2017 07:24:16 AM,CSV,udara
empire,Order Import Started, 6 Jun 2017 06:44:32 AM,CSV,udara
empire,Order Import Finished, 6 Jun 2017 06:47:35 AM,CSV,udara
empire,Order Import Started, 6 Jun 2017 06:47:52 AM,CSV,udara
empire,Order Import Finished, 6 Jun 2017 06:51:20 AM,CSV,udara
empire,Order Import Started, 6 Jun 2017 13:43:37 PM,CSV,udara
empire,Order Import Finished, 6 Jun 2017 13:45:59 PM,CSV,udara
empire,Order Import Started, 6 Jun 2017 14:13:46 PM,CSV,udara
empire,Order Import Finished, 6 Jun 2017 14:13:53 PM,CSV,udara
empire,Order Import Started, 7 Jun 2017 07:32:50 AM,CSV,udara
empire,Order Import Finished, 7 Jun 2017 07:37:26 AM,CSV,udara
empire,Order Import Started, 7 Jun 2017 07:37:44 AM,CSV,udara
empire,Order Import Finished, 7 Jun 2017 07:38:54 AM,CSV,udara
empire,Order Import Started, 7 Jun 2017 14:30:52 PM,CSV,udara
empire,Order Import Finished, 7 Jun 2017 14:32:56 PM,CSV,udara
empire,Order Import Started, 8 Jun 2017 07:43:58 AM,CSV,udara
empire,Order Import Finished, 8 Jun 2017 07:44:22 AM,CSV,udara
empire,Order Import Started, 8 Jun 2017 07:46:54 AM,CSV,udara
empire,Order Import Finished, 8 Jun 2017 07:50:09 AM,CSV,udara
empire,Order Import Started, 8 Jun 2017 13:32:35 PM,CSV,udara
empire,Order Import Finished, 8 Jun 2017 13:33:58 PM,CSV,udara
empire,Order Import Started, 9 Jun 2017 07:51:46 AM,CSV,udara
empire,Order Import Started, 9 Jun 2017 07:52:24 AM,CSV,udara
empire,Order Import Started, 9 Jun 2017 07:52:45 AM,CSV,udara
empire,Order Import Finished, 9 Jun 2017 07:52:55 AM,CSV,udara
empire,Order Import Started, 9 Jun 2017 07:53:13 AM,CSV,udara
empire,Order Import Finished, 9 Jun 2017 07:53:14 AM,CSV,udara
empire,Order Import Canceled, 9 Jun 2017 07:53:40 AM,,udara
empire,Order Import Started, 9 Jun 2017 07:54:00 AM,Shipstation API 2,udara
empire,Order Import Canceled, 9 Jun 2017 07:56:53 AM,,udara
empire,Order Import Started, 9 Jun 2017 08:02:53 AM,CSV,udara
empire,Order Import Finished, 9 Jun 2017 08:03:07 AM,CSV,udara
empire,Order Import Started, 9 Jun 2017 08:05:09 AM,CSV,udara
empire,Order Import Finished, 9 Jun 2017 08:05:10 AM,CSV,udara
empire,Order Import Started, 9 Jun 2017 08:05:26 AM,,udara
empire,Order Import Started, 9 Jun 2017 08:05:44 AM,CSV,udara
empire,Order Import Finished, 9 Jun 2017 08:05:46 AM,CSV,udara
empire,Order Import Started, 9 Jun 2017 08:05:52 AM,CSV,udara
empire,Order Import Finished, 9 Jun 2017 08:06:10 AM,CSV,udara
empire,Order Import Started, 9 Jun 2017 08:06:25 AM,CSV,udara
empire,Order Import Finished, 9 Jun 2017 08:09:50 AM,CSV,udara
empire,Order Import Started, 9 Jun 2017 12:50:10 PM,CSV,udara
empire,Order Import Finished, 9 Jun 2017 12:51:39 PM,CSV,udara
empire,Order Import Started, 9 Jun 2017 16:06:30 PM,CSV,udara
empire,Order Import Finished, 9 Jun 2017 16:07:26 PM,CSV,udara
hobbiesdepot,Order Import Started, 5 Jun 2017 05:01:21 AM,,hobbiesdepot
hobbiesdepot,Order Import Started, 5 Jun 2017 10:55:31 AM,,hobbiesdepot
hobbiesdepot,Order Import Started, 5 Jun 2017 13:40:06 PM,,hobbiesdepot
hobbiesdepot,Order Import Started, 5 Jun 2017 13:49:53 PM,,hobbiesdepot
